;"Agricultura, inclusive o apoio";"Pecuária, inclusive o apoio";"Produção florestal e pesca";"Extração de carvão mineral";"Petróleo e gás";"Minério de ferro";"Minerais não-ferrosos";"Abate e produtos de carne";"Açúcar";"Outros produtos alimentares";"Bebidas";"Fumo";"Têxteis";"Vestuário";"Couro";"Madeira";"Celulose e papel";"Impressão e reprodução de gravações";"Refino de petróleo";"Biocombustíveis";"Químicos";"Defensivos, desinfestantes e tintas";"Limpeza e Higiene";"Farmacêuticos";"Borracha e plásticos";"Produtos de minerais";"Ferro e aço";"Metalurgia de metais não-ferrosos";"Produtos de metal exceto máq.";"Eletrônicos";"Equipamentos elétricos";"Equipamentos mecânicos";"Veículos";"Peças veiculares";"Equipamentos de transporte";"Móveis";"Manutenção de máquinas";"Energia";"Água, esgoto";"Construção";"Comércio por atacado e varejo";"Transporte terrestre";"Transporte aquaviário";"Transporte aéreo";"Armazenamento";"Alojamento";"Alimentação";"Edição e edição integrada à impressão";"Rádio e TV";"Telecomunicações";"Desenv. Sistemas";"Serv. financeiros";"Atividades imobiliárias";"Atividades jurídicas e contábeis";"Serv. de arquitetura e engenharia";"Outras atividades profissionais, científicas e técnicas";"Aluguéis não-imobiliários";"Outras atividades administrativas";"Atividades de vigilância";"Administração pública";"Educação pública";"Educação privada";"Saúde pública";"Saúde privada";"Atividades artísticas";"Organizações associativas";"Serviços domésticos"
"Agricultura, inclusive o apoio";"0.0240767588462963";"0.0327890321603579";"0.00588084049009814";"0.000138458897479489";"0.0000280942631633041";"0.00000867652681601589";"0.0000774499173296001";"0.0292588106300545";"0.456171615512531";"0.235670377393176";"0.026222953986638";"0.31532082323843";"0.0798374352721401";"0.00385488131401066";"0.000163097342511062";"0.00368943167818319";"0.00165064381596502";"0.00000880531795606671";"0.0000253770730164888";"0.408416395032561";"0.000100158769891667";"0.000345720535532524";"0.0000420158150059515";"0.000149874473313173";"0.000370396998229128";"0.00024462422588336";"0.000185760778459509";"0.000239942185926015";"0.0000187520045780356";"0.00000191134683092974";"0.00000480368217757411";"0.00000721361830087238";"0.00000371153648430911";"0.00000373363278789797";"0.0000147832395259925";"0.000162098029383774";"0.000000577625523185583";"0.00000248698624130453";"0.000396276906957885";"0.000461181874540315";"0.00662532894353775";"0.00000169771367455855";"0.000000997364924781012";"0.0000107233296620537";"0.0000614091374124214";"0.011325397026326";"0.0173505806352701";"0.00000393118963613366";"0.0000155611212750522";"0.000187257506284539";"0.0000118540778622353";"0.0000250631655409012";"0.0000268045511966104";"0.000027427556828293";"0.000171257219170357";"0.00000543250264843884";"0.00000863297322132114";"0.000445316137446973";"0.00000397366852418285";"0.0019420675308292";"0.00197098403203692";"0.000523451280609249";"0.00150530720159782";"0.000997486938241284";"0.0000647335938177367";"0.000973672401560925";0
"Pecuária, inclusive o apoio";"0.00293635123088649";"0.0328330742663195";"0.00472921376407219";"0.000362503728322556";"0.0000829563534680355";"0.0000131612940945358";"0.000165016329895119";"0.34951708656246";"0.00229435511606691";"0.0150419514556979";"0.00100147660981819";"0.0161000267111977";"0.00196578895240676";"0.000940019131029694";"0.000279363739339408";"0.00627557938934858";"0.00230626499257929";"0.0000191204108189883";"0.00000126926559348259";"0.00294841597762407";"0.000356282747581926";"0.00016950882896864";"0.0000936960377712071";"0.0000429826288438584";"0.000575814899373028";"0.00108090490918982";"0.000370719074478478";"0.000565514127544266";"0.0000162635704982884";"0.00000500954412717775";"0.0000170281373159107";"0.0000122443145343264";"0.00000584184163835624";"0.0000104216665439024";"0.0000207106577387629";"0.0000833121296431087";"0.00000174803689692374";"0.00000284823275747688";"0.000122742297987052";"0.00103617598956217";"0.000301964658102295";"0.00000246937640221342";"0.0000023057500354967";"0.0000111627247205802";"0.000129829288040098";"0.00990950722629951";"0.00561313124040916";"0.0000108651476426603";"0.0000273533640440039";"0.000398121850830351";"0.0000265782177549498";"0.0000495320397090717";"0.0000600529445896823";"0.0000235601143926479";"0.000183110812370655";"0.0000519481845527026";"0.0000195425868735613";"0.000111918467879059";"0.0000078860627801547";"0.000377370330078338";"0.000544258581533006";"0.000137736758431666";"0.000474292514948686";"0.000602390872828396";"0.000052354769023421";"0.00028629179333466";0
"Produção florestal e pesca";"0.00313983690761524";"0.00811703366197953";"0.0604888300875358";"0.000100953654697415";"0.00000591740051382339";"0.00000110991975855094";"0.0000077873908593813";"0.0073715057118968";"0.0000459316858980991";"0.00170378824004582";"0.000195165020393074";"0.00180978771115696";"0.00125901923548895";"0.000284084098067737";"0.000414119879616651";"0.118568775428317";"0.0408965771721792";"0.000000995633511968244";"0.0000000729989744749007";"0.000121463145219319";"0.00128900447307273";"0.0000470494437599478";"0.00000202929632151159";"0.0000057696774413554";"0.010753897581096";"0.000953233421155263";"0.00558177604433457";"0.000030341850097281";"0.0000742074894699851";"0.000000497094262655879";"0.00000150752089116493";"0.00000150828728594291";"0.000000666520330129842";"0.00000101153322119125";"0.00000202178658512811";"0.0000571460217731823";"0.000000214198038213717";"0.000000580163604220421";"0.0000106444452709818";"0.000792095757966535";"0.000226428463699882";"0.000000250702004781927";"0.000000196602127438294";"0.000000953508266020456";"0.00000643200436007904";"0.00234329210528896";"0.00226935378054883";"0.00000122282827713254";"0.00000277748644584802";"0.0000184414828451185";"0.00000186499378731914";"0.00000257476695493745";"0.00000322373988419251";"0.00000137273054332517";"0.0000489312894091536";"0.000000630539208480354";"0.00000146044119337429";"0.00000620014154341536";"0.00000058524038655189";"0.000204218455874328";"0.000372663221667479";"0.000070271360340553";"0.000291460323921005";"0.000122124352434944";"0.00000308796063414765";"0.0000244197256520915";0
"Extração de carvão mineral";"0.000601032866866736";"0.00276525373532917";"0.00040912089158428";"0.01844685356548";"0.00272840589559735";"0.0000195173842860236";"0.000254277664848913";"0.000296821001763683";"0.000393873438706786";"0.00130965268582467";"0.00036049286146479";"0.00000294672683136083";"0.000136031312891308";"0.00000561493468653307";"0.000135080063021304";"0.0000135816170644107";"0.00075226295872167";"0.0000189393760811844";"0.0000596344242470901";"0.00582904014208659";"0.0186998581103961";"0.00314454855960137";"0.000763698315110644";"0.0000884437925933738";"0.000262133446491977";"0.0585441058996783";"0.00578934124275238";"0.00762057358896004";"0.000130527101275709";"0.00000541798974291319";"0.000721124987602946";"0.000122579559101843";"0.000142578645129462";"0.000435473357836884";"0.000184798122223463";"0.0005962483699167";"0.000237476396418803";"0.00475474989224668";"0.00615354012794494";"0.0100211438998198";"0.0000912507810146333";"0.0000038493463310579";"0.0000109233191466917";"0.00000227031275367728";"0.0000684632304477481";"0.000185460021369383";"0.000156858739467946";"0.0000082270278770443";"0.00000704368161369508";"0.00000848690497294592";"0.00000580952126376603";"0.00000619313440996061";"0.000477202729233402";"0.0000120803937606202";"0.0000333355861452731";"0.00000799590909529443";"0.0000110989444288397";"0.0000162126806884015";"0.00000370096897578249";"0.000111598757837524";"0.00011814222279429";"0.0000298996562691023";"0.00014999463753581";"0.000199663054160098";"0.0000471456783841996";"0.0000507804025921215";0
"Petróleo e gás";"0.0000668568625178286";"0.0000726431852027882";"0.0000277270034184342";"0.000170730342669066";"0.0553787572978395";"0.00229392964323855";"0.00142028528558536";"0.000200576256243841";"0.0000363317629074577";"0.00127623356111486";"0.00109464767699283";"0.00000930756085514275";"0.00182719142726219";"0.0000316542886906099";"0.0000618861308518702";"0.000699560458452234";"0.00409285444548851";"0.000119685864308269";"0.273527378364916";"0.0000457111728447523";"0.00636909506059951";"0.00113861269584598";"0.000568126630269319";"0.000407253486058754";"0.000708067385268527";"0.00227183918416745";"0.00206128445439332";"0.00320459843779563";"0.0015883892053117";"0.000043160549481464";"0.000307457788734544";"0.000170203174317639";"0.000311936675858299";"0.00104042911025872";"0.0000549861043076638";"0.0000484273134863993";"0.000110220095533493";"0.022258700994929";"0.00428402418640491";"0.00103669650554745";"0.000139097488807278";"0.000225497933970623";"0.000198775696678357";"0.0000461020103457865";"0.000276263031179993";"0.000123853878622747";"0.000100952073800968";"0.000092482250919254";"0.0000415183004278135";"0.000331879742324531";"0.0000708519997679474";"0.0000341958145414185";"0.0000098728209342711";"0.0000696263948674062";"0.000724575969607624";"0.0000292935109806641";"0.000123444438901725";"0.000046865033426997";"0.0000331290606655377";"0.000596414039514965";"0.0000276462548086689";"0.000149187215742901";"0.0000364777968869389";"0.0000486733004110995";"0.000263004374572648";"0.000103340238555334";0
"Minério de ferro";"0.00000000448327339284605";"0.00000000453605855376627";"0.0000000310286751749859";"0.000000153063087017666";"0.00000308820840223198";"0.0125305063669697";"0.00208551166233737";"0.000000423481917149637";"0.000000544956314132909";"0.00000158372461103964";"0.00000139495954515186";"0.00000192433195686524";"0.00000178856073753088";"0.00000123966904849697";"0.00000070137747163423";"0.000000132076419284121";"0.000000942483973922787";"0.000000327765122260597";"0.000000055597663171617";"0.000000544662699260569";"0.00000193929518555578";"0.00000681367336504275";"0.0000137201699644437";"0.0000202237961367715";"0.00000280312507907588";"0.00143974515167489";"0.101000174036304";"0.00126915252668724";"0.00000130324246677386";"0.00000871521421919219";"0.00000318082536898952";"0.00000205622211904416";"0.0000103776547883608";"0.00000663765589850398";"0.00000275193615797806";"0.000000737014541319659";"0.000000107489710122018";"0.00000171847251456021";"0.00000104251433958296";"0.000000315324238158455";"0.00000483089202521082";"0.0000004473721353482";"0.000000590209583364032";"0.000000515825670646068";"0.0000028201165965254";"0.00000576910068750725";"0.00000251158513475199";"0.00000166811939889384";"0.000001692782672175";"0.00000349296264301953";"0.00000652712767124218";"0.00000169683648526689";"0.000000452808122852927";"0.00000303124463371516";"0.000168089293752667";"0.00000120785287151993";"0.00000687888013025038";"0.00000192773772768152";"0.000000930754337974499";"0.000000533733671965424";"0.00000033372710476147";"0.0000189544596788792";"0.000000355260917804055";"0.00000137449768232885";"0.0000121198189016369";"0.00000220336485405667";0
"Minerais não-ferrosos";"0.00000685203513516737";"0.0000146269621525829";"0.00000215723777197817";"0.0000554871608135859";"0.000260707699569201";"0.000101556362005207";"0.0418281150469943";"0.00000654817137949761";"0.0000025480892098186";"0.0000138487182818206";"0.0000113018319015841";"0.00000031544238847903";"0.00000102824177361557";"0.000000636245019441785";"0.00000100300326022726";"0.0000003840904511411";"0.0000174674541788557";"0.0000494614124771336";"0.0000000509286554033408";"0.0000173230703361415";"0.0000609194713434626";"0.0000246660957935983";"0.00000762624173512313";"0.00000181224194703937";"0.00000622504397011035";"0.000577486697692581";"0.0131043171363369";"0.11476864573439";"0.0000589257406709287";"0.0000078162749306481";"0.00028922796377751";"0.0000320038840689766";"0.0000209933871351331";"0.000235113902340086";"0.0000845611915192149";"0.0000922806047399289";"0.0000215135771474249";"0.000000930398525511458";"0.0000287719271439751";"0.0000612023745732869";"0.00000207163175586041";"0.000000645021497420161";"0.000000298353289250392";"0.000000261411857237721";"0.00000120975239507443";"0.00000630264316474586";"0.00000250766482416489";"0.000000907031991639834";"0.000000718661122685457";"0.00000079440053318413";"0.000000586919817088859";"0.000000610598938202839";"0.00000260557773676581";"0.00000112422163678782";"0.00002104694197121";"0.000000592901121661493";"0.00000110769679804523";"0.000000853383582365969";"0.000000377538979935941";"0.000000829614393069698";"0.000000790747138239566";"0.00000211112593868027";"0.00000104162024112853";"0.00000165490735328129";"0.00000441237180303324";"0.00000118490842596051";0
"Abate e produtos de carne";"0.000711180421958711";"0.020241937902747";"0.00301519535788194";"0.000162135966936673";"0.0000167310621532921";"0.0000264710166223738";"0.000047320771091959";"0.0844654176333131";"0.0000185494817502426";"0.0076041863840929";"0.000890012229480752";"0.0000271718722146421";"0.0000634177974050374";"0.0000724035482269825";"0.0639898169898892";"0.000053629011525813";"0.000080724324585464";"0.0000659958637048851";"0.0000048740997206383";"0.0134895335618497";"0.000132772265332688";"0.000367776790392124";"0.0246401556862834";"0.000115977433734403";"0.0000917962387675148";"0.0000533309380900915";"0.0000447090235473247";"0.0000609575047502947";"0.000357070061098628";"0.0000477397092869988";"0.0000632232554935043";"0.0000841976822033061";"0.0000506671512259408";"0.000051901479230535";"0.0000541796713398644";"0.0000909314145711138";"0.0000724759937647273";"0.00000978103234021246";"0.0000251476708107244";"0.0000373470177717409";"0.000267667627246195";"0.0000311353524437637";"0.0000191982610633567";"0.0000120958529885602";"0.000016085286964993";"0.0165540582570782";"0.0539269999088148";"0.0000385079944697813";"0.000019593249714604";"0.0000188666237880259";"0.000010663492845376";"0.0000081411158611611";"0.00000285881842835438";"0.000015338308092428";"0.0000568524487479563";"0.0000451507167054762";"0.0000369451720501367";"0.0000147679671876019";"0.0000105109262918654";"0.00323600827077971";"0.00693017321476306";"0.00185110914627966";"0.00537455861990055";"0.00311584650620323";"0.000263412400692082";"0.00202192505024236";0
"Açúcar";"0.000354697161927113";"0.000949453156352264";"0.000179272561871904";"0.000269174350857535";"0.000953794383183842";"0.00017994779974394";"0.000265522329546716";"0.00175095128696216";"0.0341643472498023";"0.0174038914004649";"0.0136739317782019";"0.0000226603566393082";"0.000179313231284275";"0.000020888339547413";"0.0000387374855109072";"0.00013382085777078";"0.00016580437590296";"0.0000394874334100923";"0.0206299946458626";"0.0215041925237756";"0.00074150099889693";"0.00968856989888447";"0.010260755013006";"0.00407863894808014";"0.000115313117872549";"0.000215386362374535";"0.000188867163184736";"0.000254553812989603";"0.000148390242640567";"0.0000163661875940223";"0.000104942682599155";"0.000597195804339027";"0.000100036412325726";"0.0000819689135884053";"0.0000756740969251307";"0.0000454204604675405";"0.000570578528174625";"0.001355865133046";"0.000289351832408645";"0.000197572574544473";"0.00018812766377821";"0.000533659850328809";"0.0000696937692552677";"0.00000818503536829185";"0.000207809368949543";"0.00040445015345704";"0.00348247905454516";"0.0000376733787304957";"0.0000610901793606752";"0.000052964814468232";"0.000022450840606383";"0.0000290857524809315";"0.00000551759152681018";"0.000033717031766224";"0.000296507065534384";"0.0000622597318469872";"0.0000257223878499854";"0.000158895885557088";"0.00050744845969685";"0.000680124883175596";"0.000526765333757626";"0.000185483884017147";"0.0004457642213474";"0.000253375296189745";"0.000135863920725292";"0.000299223096697821";0
"Outros produtos alimentares";"0.00730914822471852";"0.061541064145587";"0.0156068344383427";"0.00568940467910129";"0.000342073390980615";"0.000466991436991945";"0.000877630051364905";"0.0624776382225484";"0.000373734236007313";"0.0949716861352242";"0.0309746840148158";"0.000466302111541371";"0.000850634003225757";"0.000600461661456016";"0.00140279314150128";"0.000961922526883206";"0.0074018243503467";"0.00104435101153465";"0.00135186329920667";"0.0554473766069935";"0.00301779081944416";"0.0108059023211212";"0.0196754533405926";"0.00165877279462587";"0.00126894437991932";"0.000782854600250599";"0.000745408559608841";"0.000877776060095454";"0.000805441263141051";"0.000612410034596285";"0.000862839906664986";"0.001044527706667";"0.000652769303093063";"0.000690701611579797";"0.000810437707656602";"0.00100188540182832";"0.000957314590564";"0.000131484514671141";"0.000436551987818996";"0.000523101675575531";"0.00286804398082317";"0.000486646537292694";"0.000163822341605106";"0.00109406571442609";"0.000284082944289603";"0.0104534864777325";"0.040531916391725";"0.000532473144185008";"0.000233918325131429";"0.000302993314509419";"0.000135867987854719";"0.000399719729719514";"0.0000617567520217246";"0.00029252509584977";"0.000459187385514039";"0.000467116051142036";"0.000358786455456403";"0.00020450373605623";"0.000141567161903276";"0.00222385630036297";"0.00620093435369171";"0.00181241486366971";"0.00903771000255872";"0.00350650927700236";"0.00115251222141905";"0.00407120388761726";0
