"Produto"	"Valor da produção"	"0191 Agricultura, inclusive o apoio à agricultura e a pós-colheita"	"0192 Pecuária, inclusive o apoio à pecuária"	"0280 Produção florestal; pesca e aquicultura"	"0580 Extração de carvão mineral e de minerais não-metálicos"	"0680 Extração de petróleo e gás, inclusive as atividades de apoio"	"0791 Extração de minério de ferro, inclusive beneficiamentos e a aglomeração"	"0792 Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos"	"1091 Abate e produtos de carne, inclusive os produtos do laticínio e da pesca"	"1092 Fabricação e refino de açúcar"	"1093 Outros produtos alimentares"	"1100 Fabricação de bebidas"	"1200 Fabricação de produtos do fumo"	"1300 Fabricação de produtos têxteis"	"1400 Confecção de artefatos do vestuário e acessórios"	"1500 Fabricação de calçados e de artefatos de couro"	"1600 Fabricação de produtos da madeira"	"1700 Fabricação de celulose, papel e produtos de papel"	"1800 Impressão e reprodução de gravações"	"1991 Refino de petróleo e coquerias"	"1992 Fabricação de biocombustíveis"	"2091 Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros"	"2092 Fabricação de defensivos, desinfestantes, tintas e químicos diversos"	"2093 Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal"	"2100 Fabricação de produtos farmoquímicos e farmacêuticos"	"2200 Fabricação de produtos de borracha e de material plástico"	"2300 Fabricação de produtos de minerais não-metálicos"	"2491 Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura"	"2492 Metalurgia de metais não-ferosos e a fundição de metais"	"2500 Fabricação de produtos de metal, exceto máquinas e equipamentos"	"2600 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos"	"2700 Fabricação de máquinas e equipamentos elétricos"	"2800 Fabricação de máquinas e equipamentos mecânicos"	"2991 Fabricação de automóveis, caminhões e ônibus, exceto peças"	"2992 Fabricação de peças e acessórios para veículos automotores"	"3000 Fabricação de outros equipamentos de transporte, exceto veículos automotores"	"3180 Fabricação de móveis e de produtos de indústrias diversas"	"3300 Manutenção, reparação e instalação de máquinas e equipamentos"	"3500 Energia elétrica, gás natural e outras utilidades"	"3680 Água, esgoto e gestão de resíduos"	"4180 Construção"	"4580 Comércio por atacado e varejo"	"4900 Transporte terrestre"	"5000 Transporte aquaviário"	"5100 Transporte aéreo"	"5280 Armazenamento, atividades auxiliares dos transportes e correio"	"5500 Alojamento"	"5600 Alimentação"	"5800 Edição e edição integrada à impressão"	"5980 Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem"	"6100 Telecomunicações"	"6280 Desenvolvimento de sistemas e outros serviços de informação"	"6480 Intermediação financeira, seguros e previdência complementar"	"6800 Atividades imobiliárias"	"6980 Atividades jurídicas, contábeis, consultoria e sedes de empresas "	"7180 Serviços de arquitetura, engenharia, testes/análises técnicas e P & D"	"7380 Outras atividades profissionais, científicas e técnicas"	"7700 Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual"	"7880 Outras atividades administrativas e serviços complementares"	"8000 Atividades de vigilância, segurança e investigação"	"8400 Administração pública, defesa e seguridade social"	"8591 Educação pública"	"8592 Educação privada"	"8691 Saúde pública"	"8692 Saúde privada"	"9080 Atividades artísticas, criativas e de espetáculos"	"9480 Organizações associativas e outros serviços pessoais"	"9700 Serviços domésticos"	"Total do produto"	"Exportação de bens e serviços"	"Consumo do governo"	"Consumo das  ISFLSF"	"Consumo  das famílias"	"Formação bruta de capital fixo"	"Variação de estoque"	"Demanda final"	"Demanda total"
"Arroz, trigo e outros cereais"	8042	146	153	0	0	0	0	0	9	0	6091	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	6696	404	63	0	431	0	448	1346	8042
"Milho em grão"	14717	431	1735	6	0	0	0	0	315	0	5368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	175	1	0	0	2	0	0	0	8364	3141	50	0	2471	0	691	6353	14717
"Algodão herbáceo, outras fibras da lav. temporária"	5161	99	14	0	0	0	0	0	0	0	510	0	0	2931	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3701	1430	0	0	2	0	28	1460	5161
"Cana-de-açúcar"	32894	544	73	2	0	0	0	0	0	20357	0	1236	0	0	0	0	0	0	0	0	9318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32027	0	0	0	867	0	0	867	32894
"Soja  em grão"	40124	735	65	0	0	0	0	0	197	0	14347	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19303	19692	0	0	33	0	1096	20821	40124
"Outros produtos e serviços da lavoura temporária"	32643	2201	615	73	0	0	0	0	13	0	2188	0	4472	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	383	0	0	0	0	92	999	0	0	0	0	0	0	2	0	0	0	53	0	393	254	24	122	92	1	87	0	12206	544	34	0	19963	0	-104	20437	32643
"Laranja"	6029	5	3	2	0	0	0	0	0	0	3698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	190	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	1	0	0	3	0	3973	0	0	0	1881	175	0	2056	6029
"Café em grão"	11606	18	66	1	0	0	0	0	0	0	3537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	203	0	0	0	0	0	2	0	3830	9048	0	0	283	183	-1738	7776	11606
"Outros produtos da lavoura permanente"	13558	40	11	1	0	0	0	0	1	0	1880	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	16	312	0	0	0	0	0	0	0	1	0	0	0	0	78	49	5	20	16	0	5	0	2503	771	4	0	10187	91	2	11055	13558
"Bovinos e outros animais vivos, prods. animal, caça e serv."	42279	213	887	6	0	0	0	0	29231	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	62	35	3	0	55	0	0	0	30516	1379	0	0	397	8788	1199	11763	42279
